VirusTaxID,Virus,VirusGenus,VirusFamily,VirusOrder,VirusClass,VirusNCBIResolved,ICTVRatified
2591409,african pygmy hedgehog adenovirus 1,mastadenovirus,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
10497,african swine fever virus,asfivirus,asfarviridae,asfuvirales,pokkesviricetes,TRUE,FALSE
270904,agamid adenovirus 1,atadenovirus,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
3037427,agile wallaby adenovirus 1,mastadenovirus,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
3081623,agile wallaby chaphamaparvovirus 1,chaphamaparvovirus,parvoviridae,piccovirales,quintoviricetes,TRUE,FALSE
3081624,agile wallaby chaphamaparvovirus 2,chaphamaparvovirus,parvoviridae,piccovirales,quintoviricetes,TRUE,FALSE
3081625,agile wallaby polyomavirus 1,,polyomaviridae,sepolyvirales,papovaviricetes,TRUE,FALSE
3081626,agile wallaby polyomavirus 2,,polyomaviridae,sepolyvirales,papovaviricetes,TRUE,FALSE
3081627,agile wallaby-associated picobirnavirus 1,picobirnavirus,picobirnaviridae,durnavirales,duplopiviricetes,TRUE,FALSE
3081628,agile wallaby-associated picobirnavirus 2,picobirnavirus,picobirnaviridae,durnavirales,duplopiviricetes,TRUE,FALSE
3081629,agile wallaby-associated picobirnavirus 3,picobirnavirus,picobirnaviridae,durnavirales,duplopiviricetes,TRUE,FALSE
3081630,agile wallaby-associated picobirnavirus 4,picobirnavirus,picobirnaviridae,durnavirales,duplopiviricetes,TRUE,FALSE
3081631,agile wallaby-associated picobirnavirus 5,picobirnavirus,picobirnaviridae,durnavirales,duplopiviricetes,TRUE,FALSE
3081632,agile wallaby-associated picobirnavirus 6,picobirnavirus,picobirnaviridae,durnavirales,duplopiviricetes,TRUE,FALSE
3081633,agile wallaby-associated picobirnavirus 7,picobirnavirus,picobirnaviridae,durnavirales,duplopiviricetes,TRUE,FALSE
3081634,agile wallaby-associated picobirnavirus 8,picobirnavirus,picobirnaviridae,durnavirales,duplopiviricetes,TRUE,FALSE
3081635,agile wallaby-associated picobirnavirus 9,picobirnavirus,picobirnaviridae,durnavirales,duplopiviricetes,TRUE,FALSE
3051410,agnathovirus eptatreti,agnathovirus,hantaviridae,bunyavirales,ellioviricetes,TRUE,TRUE
2871640,ailuropoda melanoleuca papillomavirus 5,,papillomaviridae,zurhausenvirales,papovaviricetes,TRUE,FALSE
2871641,ailurus fulgens astrovirus 1,,astroviridae,stellavirales,stelpaviricetes,TRUE,FALSE
2871642,ailurus fulgens astrovirus 2,,astroviridae,stellavirales,stelpaviricetes,TRUE,FALSE
1539747,akhtuba virus,,peribunyaviridae,bunyavirales,ellioviricetes,TRUE,FALSE
2163422,akodon montensis polyomavirus,,polyomaviridae,sepolyvirales,papovaviricetes,TRUE,FALSE
2811222,albatrosspox virus,,poxviridae,chitovirales,pokkesviricetes,TRUE,FALSE
3036203,alcelaphine herpesvirus 3,,orthoherpesviridae,herpesvirales,herviviricetes,TRUE,FALSE
3070654,aldabra tortoise adenovirus 1,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
3408569,alectoris chukar avian leukosis like virus,alpharetrovirus,retroviridae,ortervirales,revtraviricetes,TRUE,FALSE
2169692,alefpapillomavirus 1,alefpapillomavirus,papillomaviridae,zurhausenvirales,papovaviricetes,TRUE,TRUE
3051412,aleptorquevirus lepor1,aleptorquevirus,anelloviridae,,,TRUE,TRUE
1653397,alethinophid 1 reptarenavirus,reptarenavirus,arenaviridae,bunyavirales,ellioviricetes,TRUE,FALSE
1653398,alethinophid 2 reptarenavirus,reptarenavirus,arenaviridae,bunyavirales,ellioviricetes,TRUE,FALSE
1653399,alethinophid 3 reptarenavirus,reptarenavirus,arenaviridae,bunyavirales,ellioviricetes,TRUE,FALSE
3349289,allocricetulus eversmanni hepe-like virus,,hepeviridae,hepelivirales,alsuviricetes,TRUE,FALSE
3349290,allocricetulus eversmanni jeilongvirus,jeilongvirus,paramyxoviridae,mononegavirales,monjiviricetes,TRUE,FALSE
3139613,almagra bat picornavirus,,,picornavirales,pisoniviricetes,TRUE,FALSE
2269360,alongshan virus,,flaviviridae,amarillovirales,flasuviricetes,TRUE,FALSE
2849141,alouatta caraya papillomavirus,,papillomaviridae,zurhausenvirales,papovaviricetes,TRUE,FALSE
1881000,alouatta macconnelli cytomegalovirus,cytomegalovirus,orthoherpesviridae,herpesvirales,herviviricetes,TRUE,FALSE
1881001,alouatta palliata cytomegalovirus,cytomegalovirus,orthoherpesviridae,herpesvirales,herviviricetes,TRUE,FALSE
1881002,alouatta seniculus cytomegalovirus,cytomegalovirus,orthoherpesviridae,herpesvirales,herviviricetes,TRUE,FALSE
1770168,alpaca coronavirus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
2499620,alphaarterivirus equid,alphaarterivirus,arteriviridae,nidovirales,pisoniviricetes,TRUE,TRUE
2560765,alphachrysovirus shuangaoense,alphachrysovirus,chrysoviridae,ghabrivirales,chrymotiviricetes,TRUE,TRUE
693997,alphacoronavirus 1,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
3158245,alphacoronavirus scotophili,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,TRUE,TRUE
693999,alphacoronavirus scotophili,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,TRUE,TRUE
1906673,alphacoronavirus sp.,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
2042644,alphacoronavirus trinidad/1fy2ba/2007,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
2494334,alphaherpesvirinae sp.,,orthoherpesviridae,herpesvirales,herviviricetes,TRUE,FALSE
2955291,alphainfluenzavirus influenzae,alphainfluenzavirus,orthomyxoviridae,articulavirales,insthoviricetes,TRUE,TRUE
11320,alphainfluenzavirus influenzae,alphainfluenzavirus,orthomyxoviridae,articulavirales,insthoviricetes,TRUE,TRUE
2793799,alphanemrhavirus sodak,alphanemrhavirus,rhabdoviridae,mononegavirales,monjiviricetes,TRUE,TRUE
3059718,alphanemrhavirus sodak,alphanemrhavirus,rhabdoviridae,mononegavirales,monjiviricetes,TRUE,TRUE
337048,alphapapillomavirus 1,alphapapillomavirus,papillomaviridae,zurhausenvirales,papovaviricetes,TRUE,TRUE
