Host_Intermediate,Host,taxid,HostFamily,HostOrder,HostClass
Cercopithecus petaurista,Cercopithecus petaurista,100487,Cercopithecidae,Primates,Dipnotetrapodomorpha
Cercopithecus pogonias,Cercopithecus pogonias,102108,Cercopithecidae,Primates,Dipnotetrapodomorpha
Cercopithecus wolfi,Cercopithecus wolfi,263448,Cercopithecidae,Primates,Dipnotetrapodomorpha
Cheirogaleus major,Cheirogaleus major,47177,Cheirogaleidae,Primates,Dipnotetrapodomorpha
Cheirogaleus medius,Cheirogaleus medius,9460,Cheirogaleidae,Primates,Dipnotetrapodomorpha
Cheracebus torquatus,Cheracebus torquatus,30592,Pitheciidae,Primates,Dipnotetrapodomorpha
Chiropotes albinasus,Chiropotes albinasus,198627,Pitheciidae,Primates,Dipnotetrapodomorpha
Chiropotes chiropotes,Chiropotes chiropotes,658221,Pitheciidae,Primates,Dipnotetrapodomorpha
Chiropotes satanas,Chiropotes satanas,9525,Pitheciidae,Primates,Dipnotetrapodomorpha
Chlorocebus aethiops,Chlorocebus aethiops,9534,Cercopithecidae,Primates,Dipnotetrapodomorpha
Chlorocebus pygerythrus,Chlorocebus pygerythrus,60710,Cercopithecidae,Primates,Dipnotetrapodomorpha
Chlorocebus sabaeus,Chlorocebus sabaeus,60711,Cercopithecidae,Primates,Dipnotetrapodomorpha
Chlorocebus tantalus,Chlorocebus tantalus,60712,Cercopithecidae,Primates,Dipnotetrapodomorpha
Colobus angolensis,Colobus angolensis,54131,Cercopithecidae,Primates,Dipnotetrapodomorpha
Colobus guereza,Colobus guereza,33548,Cercopithecidae,Primates,Dipnotetrapodomorpha
Colobus polykomos,Colobus polykomos,9572,Cercopithecidae,Primates,Dipnotetrapodomorpha
Colobus vellerosus,Colobus vellerosus,378195,Cercopithecidae,Primates,Dipnotetrapodomorpha
Daubentonia madagascariensis,Daubentonia madagascariensis,31869,Daubentoniidae,Primates,Dipnotetrapodomorpha
Erythrocebus patas,Erythrocebus patas,9538,Cercopithecidae,Primates,Dipnotetrapodomorpha
Eulemur albifrons,Eulemur albifrons,1215604,Lemuridae,Primates,Dipnotetrapodomorpha
Eulemur collaris,Eulemur fulvus collaris,47178,Lemuridae,Primates,Dipnotetrapodomorpha
Eulemur fulvus,Eulemur fulvus,13515,Lemuridae,Primates,Dipnotetrapodomorpha
Eulemur macaco,Eulemur macaco,30602,Lemuridae,Primates,Dipnotetrapodomorpha
Eulemur mongoz,Eulemur mongoz,34828,Lemuridae,Primates,Dipnotetrapodomorpha
Eulemur rubriventer,Eulemur rubriventer,34829,Lemuridae,Primates,Dipnotetrapodomorpha
Eulemur rufus,Eulemur rufus,859983,Lemuridae,Primates,Dipnotetrapodomorpha
Euoticus elegantulus,Euoticus elegantulus,261736,Galagidae,Primates,Dipnotetrapodomorpha
Galago moholi,Galago moholi,30609,Galagidae,Primates,Dipnotetrapodomorpha
Galago senegalensis,Galago senegalensis,9465,Galagidae,Primates,Dipnotetrapodomorpha
Galagoides demidoff,Galagoides demidoff,89672,Galagidae,Primates,Dipnotetrapodomorpha
Gorilla beringei,Gorilla beringei,499232,Hominidae,Primates,Dipnotetrapodomorpha
Gorilla gorilla,Gorilla gorilla,9593,Hominidae,Primates,Dipnotetrapodomorpha
Hapalemur aureus,Hapalemur aureus,122222,Lemuridae,Primates,Dipnotetrapodomorpha
Hapalemur griseus,Hapalemur griseus,13557,Lemuridae,Primates,Dipnotetrapodomorpha
Homo sapiens,Homo sapiens,9606,Hominidae,Primates,Dipnotetrapodomorpha
Hoolock hoolock,Hoolock hoolock,61851,Hylobatidae,Primates,Dipnotetrapodomorpha
Hoolock hoolock hoolock,Hoolock hoolock,61851,Hylobatidae,Primates,Dipnotetrapodomorpha
Hylobates agilis,Hylobates agilis,9579,Hylobatidae,Primates,Dipnotetrapodomorpha
Hylobates klossii,Hylobates klossii,9587,Hylobatidae,Primates,Dipnotetrapodomorpha
Hylobates lar,Hylobates lar,9580,Hylobatidae,Primates,Dipnotetrapodomorpha
Hylobates moloch,Hylobates moloch,81572,Hylobatidae,Primates,Dipnotetrapodomorpha
Hylobates muelleri,Hylobates muelleri,9588,Hylobatidae,Primates,Dipnotetrapodomorpha
Hylobates pileatus,Hylobates pileatus,9589,Hylobatidae,Primates,Dipnotetrapodomorpha
Indri indri,Indri indri,34827,Indriidae,Primates,Dipnotetrapodomorpha
Lemur catta,Lemur catta,9447,Lemuridae,Primates,Dipnotetrapodomorpha
Leontocebus fuscicollis,Leontocebus fuscicollis,9487,Cebidae,Primates,Dipnotetrapodomorpha
Leontocebus nigricollis,Leontocebus nigricollis,9489,Cebidae,Primates,Dipnotetrapodomorpha
Leontopithecus chrysomelas,Leontopithecus chrysomelas,57374,Cebidae,Primates,Dipnotetrapodomorpha
Leontopithecus chrysopygus,Leontopithecus chrysopygus,58710,Cebidae,Primates,Dipnotetrapodomorpha
Leontopithecus rosalia,Leontopithecus rosalia,30588,Cebidae,Primates,Dipnotetrapodomorpha
Lepilemur edwardsi,Lepilemur edwardsi,122230,Lepilemuridae,Primates,Dipnotetrapodomorpha
Lepilemur microdon,Lepilemur microdon,185457,Lepilemuridae,Primates,Dipnotetrapodomorpha
Lepilemur mustelinus,Lepilemur mustelinus,9453,Lepilemuridae,Primates,Dipnotetrapodomorpha
Lepilemur ruficaudatus,Lepilemur ruficaudatus,78866,Lepilemuridae,Primates,Dipnotetrapodomorpha
Lophocebus albigena,Lophocebus albigena,75567,Cercopithecidae,Primates,Dipnotetrapodomorpha
Lophocebus aterrimus,Lophocebus aterrimus,75566,Cercopithecidae,Primates,Dipnotetrapodomorpha
Loris lydekkerianus,Loris lydekkerianus,300163,Lorisidae,Primates,Dipnotetrapodomorpha
Loris tardigradus,Loris tardigradus,9468,Lorisidae,Primates,Dipnotetrapodomorpha
Macaca arctoides,Macaca arctoides,9540,Cercopithecidae,Primates,Dipnotetrapodomorpha
Macaca assamensis,Macaca assamensis,9551,Cercopithecidae,Primates,Dipnotetrapodomorpha
Macaca balantak,Macaca balantak,281404,Cercopithecidae,Primates,Dipnotetrapodomorpha
Macaca cyclopis,Macaca cyclopis,78449,Cercopithecidae,Primates,Dipnotetrapodomorpha
Macaca fascicularis,Macaca fascicularis,9541,Cercopithecidae,Primates,Dipnotetrapodomorpha
Macaca fuscata,Macaca fuscata,9542,Cercopithecidae,Primates,Dipnotetrapodomorpha
Macaca hecki,Macaca hecki,90382,Cercopithecidae,Primates,Dipnotetrapodomorpha
Macaca maura,Macaca maura,90383,Cercopithecidae,Primates,Dipnotetrapodomorpha
Macaca mulatta,Macaca mulatta,9544,Cercopithecidae,Primates,Dipnotetrapodomorpha
Macaca nemestrina,Macaca nemestrina,9545,Cercopithecidae,Primates,Dipnotetrapodomorpha
Macaca nigra,Macaca nigra,54600,Cercopithecidae,Primates,Dipnotetrapodomorpha
Macaca nigrescens,Macaca nigrescens,90384,Cercopithecidae,Primates,Dipnotetrapodomorpha
Macaca ochreata,Macaca ochreata,90385,Cercopithecidae,Primates,Dipnotetrapodomorpha
Macaca radiata,Macaca radiata,9548,Cercopithecidae,Primates,Dipnotetrapodomorpha
Macaca silenus,Macaca silenus,54601,Cercopithecidae,Primates,Dipnotetrapodomorpha
Macaca sinica,Macaca sinica,9552,Cercopithecidae,Primates,Dipnotetrapodomorpha
Macaca sylvanus,Macaca sylvanus,9546,Cercopithecidae,Primates,Dipnotetrapodomorpha
Macaca thibetana,Macaca thibetana,54602,Cercopithecidae,Primates,Dipnotetrapodomorpha
Macaca tonkeana,Macaca tonkeana,40843,Cercopithecidae,Primates,Dipnotetrapodomorpha
Mandrillus leucophaeus,Mandrillus leucophaeus,9568,Cercopithecidae,Primates,Dipnotetrapodomorpha
Mandrillus sphinx,Mandrillus sphinx,9561,Cercopithecidae,Primates,Dipnotetrapodomorpha
Mico argentatus,Mico argentatus,9482,Cebidae,Primates,Dipnotetrapodomorpha
Mico emiliae,Mico emiliae,48842,Cebidae,Primates,Dipnotetrapodomorpha
Mico humeralifer,Mico humeralifer,52232,Cebidae,Primates,Dipnotetrapodomorpha
Mico leucippe,Mico leucippe,2592806,Cebidae,Primates,Dipnotetrapodomorpha
Microcebus murinus,Microcebus murinus,30608,Cheirogaleidae,Primates,Dipnotetrapodomorpha
Microcebus rufus,Microcebus rufus,122232,Cheirogaleidae,Primates,Dipnotetrapodomorpha
Miopithecus ogouensis,Miopithecus ogouensis,100488,Cercopithecidae,Primates,Dipnotetrapodomorpha
Miopithecus talapoin,Miopithecus talapoin,36231,Cercopithecidae,Primates,Dipnotetrapodomorpha
Nomascus concolor,Nomascus concolor,29089,Hylobatidae,Primates,Dipnotetrapodomorpha
Nomascus gabriellae,Nomascus gabriellae,61852,Hylobatidae,Primates,Dipnotetrapodomorpha
Nomascus leucogenys,Nomascus leucogenys,61853,Hylobatidae,Primates,Dipnotetrapodomorpha
Nycticebus coucang,Nycticebus coucang,9470,Lorisidae,Primates,Dipnotetrapodomorpha
Otolemur crassicaudatus,Otolemur crassicaudatus,9463,Galagidae,Primates,Dipnotetrapodomorpha
Pan paniscus,Pan paniscus,9597,Hominidae,Primates,Dipnotetrapodomorpha
Pan troglodytes,Pan troglodytes,9598,Hominidae,Primates,Dipnotetrapodomorpha
Papio anubis,Papio anubis,9555,Cercopithecidae,Primates,Dipnotetrapodomorpha
Papio cynocephalus,Papio cynocephalus,9556,Cercopithecidae,Primates,Dipnotetrapodomorpha
Papio hamadryas,Papio hamadryas,9557,Cercopithecidae,Primates,Dipnotetrapodomorpha
Papio papio,Papio papio,100937,Cercopithecidae,Primates,Dipnotetrapodomorpha
Papio ursinus,Papio ursinus,36229,Cercopithecidae,Primates,Dipnotetrapodomorpha
Perodicticus potto,Perodicticus potto,9472,Lorisidae,Primates,Dipnotetrapodomorpha
Phaner parienti,Phaner parienti,1313325,Cheirogaleidae,Primates,Dipnotetrapodomorpha
Piliocolobus badius,Piliocolobus badius,164648,Cercopithecidae,Primates,Dipnotetrapodomorpha
Piliocolobus rufomitratus,Piliocolobus rufomitratus,591934,Cercopithecidae,Primates,Dipnotetrapodomorpha
Piliocolobus tephrosceles,Piliocolobus tephrosceles,591936,Cercopithecidae,Primates,Dipnotetrapodomorpha
Pithecia irrorata,Pithecia irrorata,30598,Pitheciidae,Primates,Dipnotetrapodomorpha
Pithecia monachus,Pithecia monachus,595220,Pitheciidae,Primates,Dipnotetrapodomorpha
Pithecia pithecia,Pithecia pithecia,43777,Pitheciidae,Primates,Dipnotetrapodomorpha
Plecturocebus brunneus,Plecturocebus brunneus,1812042,Pitheciidae,Primates,Dipnotetrapodomorpha
Plecturocebus caligatus,Plecturocebus caligatus,867332,Pitheciidae,Primates,Dipnotetrapodomorpha
Plecturocebus cupreus,Plecturocebus cupreus,202457,Pitheciidae,Primates,Dipnotetrapodomorpha
Plecturocebus moloch,Plecturocebus moloch,9523,Pitheciidae,Primates,Dipnotetrapodomorpha
Pogonias cromis,Pogonias cromis,329431,Sciaenidae,NA,Actinopteri
Pongo abelii,Pongo abelii,9601,Hominidae,Primates,Dipnotetrapodomorpha
Pongo pygmaeus,Pongo pygmaeus,9600,Hominidae,Primates,Dipnotetrapodomorpha
Presbytis cristata,Trachypithecus cristatus,122765,Cercopithecidae,Primates,Dipnotetrapodomorpha
Presbytis melalophos,Presbytis melalophos,78451,Cercopithecidae,Primates,Dipnotetrapodomorpha
Procolobus verus,Procolobus verus,373033,Cercopithecidae,Primates,Dipnotetrapodomorpha
Prolemur simus,Prolemur simus,1328070,Lemuridae,Primates,Dipnotetrapodomorpha
Propithecus coquereli,Propithecus coquereli,379532,Indriidae,Primates,Dipnotetrapodomorpha
Propithecus deckenii,Propithecus deckenii,475618,Indriidae,Primates,Dipnotetrapodomorpha
Propithecus diadema,Propithecus diadema,83281,Indriidae,Primates,Dipnotetrapodomorpha
Propithecus edwardsi,Propithecus edwardsi,543559,Indriidae,Primates,Dipnotetrapodomorpha
Propithecus tattersalli,Propithecus tattersalli,30601,Indriidae,Primates,Dipnotetrapodomorpha
Propithecus verreauxi,Propithecus verreauxi,34825,Indriidae,Primates,Dipnotetrapodomorpha
Pygathrix nemaeus,Pygathrix nemaeus,54133,Cercopithecidae,Primates,Dipnotetrapodomorpha
Rhinopithecus bieti,Rhinopithecus bieti,61621,Cercopithecidae,Primates,Dipnotetrapodomorpha
Rhinopithecus roxellana,Rhinopithecus roxellana,61622,Cercopithecidae,Primates,Dipnotetrapodomorpha
Saguinus bicolor,Saguinus bicolor,37588,Cebidae,Primates,Dipnotetrapodomorpha
Saguinus geoffroyi,Saguinus geoffroyi,43778,Cebidae,Primates,Dipnotetrapodomorpha
Saguinus imperator,Saguinus imperator,9491,Cebidae,Primates,Dipnotetrapodomorpha
Saguinus labiatus,Saguinus labiatus,78454,Cebidae,Primates,Dipnotetrapodomorpha
Saguinus leucopus,Saguinus leucopus,290597,Cebidae,Primates,Dipnotetrapodomorpha
Saguinus midas,Saguinus midas,30586,Cebidae,Primates,Dipnotetrapodomorpha
Saguinus mystax,Saguinus mystax,9488,Cebidae,Primates,Dipnotetrapodomorpha
Saguinus niger,Saguinus niger,356665,Cebidae,Primates,Dipnotetrapodomorpha
Saguinus oedipus,Saguinus oedipus,9490,Cebidae,Primates,Dipnotetrapodomorpha
Saimiri boliviensis,Saimiri boliviensis,27679,Cebidae,Primates,Dipnotetrapodomorpha
Saimiri oerstedii,Saimiri oerstedii,70928,Cebidae,Primates,Dipnotetrapodomorpha
Saimiri sciureus,Saimiri sciureus,9521,Cebidae,Primates,Dipnotetrapodomorpha
Saimiri ustus,Saimiri ustus,66265,Cebidae,Primates,Dipnotetrapodomorpha
Sapajus apella,Sapajus apella,9515,Cebidae,Primates,Dipnotetrapodomorpha
Sapajus cay,Sapajus cay,649471,Cebidae,Primates,Dipnotetrapodomorpha
Sapajus flavius,Sapajus flavius,1112861,Cebidae,Primates,Dipnotetrapodomorpha
Sapajus libidinosus,Sapajus libidinosus,1126382,Cebidae,Primates,Dipnotetrapodomorpha
Sapajus nigritus,Sapajus nigritus,867366,Cebidae,Primates,Dipnotetrapodomorpha
Sapajus xanthosternos,Sapajus xanthosternos,174599,Cebidae,Primates,Dipnotetrapodomorpha
Semnopithecus entellus,Semnopithecus entellus,88029,Cercopithecidae,Primates,Dipnotetrapodomorpha
Semnopithecus priam,Semnopithecus priam,1208733,Cercopithecidae,Primates,Dipnotetrapodomorpha
Semnopithecus schistaceus,Semnopithecus schistaceus,2804203,Cercopithecidae,Primates,Dipnotetrapodomorpha
Semnopithecus vetulus,Trachypithecus vetulus,54137,Cercopithecidae,Primates,Dipnotetrapodomorpha
Symphalangus syndactylus,Symphalangus syndactylus,9590,Hylobatidae,Primates,Dipnotetrapodomorpha
Theropithecus gelada,Theropithecus gelada,9565,Cercopithecidae,Primates,Dipnotetrapodomorpha
Trachypithecus auratus,Trachypithecus auratus,222416,Cercopithecidae,Primates,Dipnotetrapodomorpha
Trachypithecus cristatus,Trachypithecus cristatus,122765,Cercopithecidae,Primates,Dipnotetrapodomorpha
Trachypithecus delacouri,Trachypithecus delacouri,465717,Cercopithecidae,Primates,Dipnotetrapodomorpha
Trachypithecus francoisi,Trachypithecus francoisi,54180,Cercopithecidae,Primates,Dipnotetrapodomorpha
Trachypithecus obscurus,Trachypithecus obscurus,54181,Cercopithecidae,Primates,Dipnotetrapodomorpha
Trachypithecus phayrei,Trachypithecus phayrei,61618,Cercopithecidae,Primates,Dipnotetrapodomorpha
Trachypithecus pileatus,Trachypithecus pileatus,164651,Cercopithecidae,Primates,Dipnotetrapodomorpha
Varecia rubra,Varecia rubra,554167,Lemuridae,Primates,Dipnotetrapodomorpha
Varecia variegata,Varecia variegata,9455,Lemuridae,Primates,Dipnotetrapodomorpha
Elephas maximus,Elephas maximus,9783,Elephantidae,Proboscidea,Dipnotetrapodomorpha
Loxodonta africana,Loxodonta africana,9785,Elephantidae,Proboscidea,Dipnotetrapodomorpha
Abrothrix longipilis,Abrothrix longipilis,29094,Cricetidae,Rodentia,Dipnotetrapodomorpha
Abrothrix olivaceus,Abrothrix olivaceus,29098,Cricetidae,Rodentia,Dipnotetrapodomorpha
Abrothrix sanborni,Abrothrix sanborni,682468,Cricetidae,Rodentia,Dipnotetrapodomorpha
Acomys cahirinus,Acomys cahirinus,10068,Muridae,Rodentia,Dipnotetrapodomorpha
Acomys dimidiatus,Acomys dimidiatus,60744,Muridae,Rodentia,Dipnotetrapodomorpha
Acomys johannis,Acomys johannis,81632,Muridae,Rodentia,Dipnotetrapodomorpha
Acomys russatus,Acomys russatus,60746,Muridae,Rodentia,Dipnotetrapodomorpha
Aethomys kaiseri,Aethomys kaiseri,253247,Muridae,Rodentia,Dipnotetrapodomorpha
Akodon azarae,Akodon azarae,29095,Cricetidae,Rodentia,Dipnotetrapodomorpha
Akodon cursor,Akodon cursor,29096,Cricetidae,Rodentia,Dipnotetrapodomorpha
Akodon montensis,Akodon montensis,106112,Cricetidae,Rodentia,Dipnotetrapodomorpha
Akodon paranaensis,Akodon paranaensis,230113,Cricetidae,Rodentia,Dipnotetrapodomorpha
Akodon simulator,Akodon simulator,484371,Cricetidae,Rodentia,Dipnotetrapodomorpha
Akodon varius,Akodon varius,140762,Cricetidae,Rodentia,Dipnotetrapodomorpha
Allactaga sibirica,Orientallactaga sibirica,234626,Dipodidae,Rodentia,Dipnotetrapodomorpha
Alticola argentatus,Alticola argentatus,400184,Cricetidae,Rodentia,Dipnotetrapodomorpha
Ammospermophilus nelsoni,Ammospermophilus nelsoni,2502157,Sciuridae,Rodentia,Dipnotetrapodomorpha
Apodemus agrarius,Apodemus agrarius,39030,Muridae,Rodentia,Dipnotetrapodomorpha
Apodemus alpicola,Apodemus alpicola,100381,Muridae,Rodentia,Dipnotetrapodomorpha
Apodemus argenteus,Apodemus argenteus,61837,Muridae,Rodentia,Dipnotetrapodomorpha
Apodemus chevrieri,Apodemus chevrieri,129246,Muridae,Rodentia,Dipnotetrapodomorpha
Apodemus draco,Apodemus draco,129247,Muridae,Rodentia,Dipnotetrapodomorpha
Apodemus flavicollis,Apodemus flavicollis,54292,Muridae,Rodentia,Dipnotetrapodomorpha
Apodemus latronum,Apodemus latronum,214933,Muridae,Rodentia,Dipnotetrapodomorpha
Apodemus mystacinus,Apodemus mystacinus,100382,Muridae,Rodentia,Dipnotetrapodomorpha
Apodemus pallipes,Apodemus pallipes,262051,Muridae,Rodentia,Dipnotetrapodomorpha
Apodemus peninsulae,Apodemus peninsulae,105297,Muridae,Rodentia,Dipnotetrapodomorpha
Apodemus ponticus,Apodemus ponticus,134909,Muridae,Rodentia,Dipnotetrapodomorpha
Apodemus speciosus,Apodemus speciosus,105296,Muridae,Rodentia,Dipnotetrapodomorpha
Apodemus sylvaticus,Apodemus sylvaticus,10129,Muridae,Rodentia,Dipnotetrapodomorpha
Apodemus uralensis,Apodemus uralensis,134910,Muridae,Rodentia,Dipnotetrapodomorpha
Arvicanthis neumanni,Arvicanthis neumanni,121563,Muridae,Rodentia,Dipnotetrapodomorpha
Arvicanthis niloticus,Arvicanthis niloticus,61156,Muridae,Rodentia,Dipnotetrapodomorpha
Arvicola amphibius,Arvicola amphibius,1047088,Cricetidae,Rodentia,Dipnotetrapodomorpha
Arvicola scherman,Arvicola scherman,1276134,Cricetidae,Rodentia,Dipnotetrapodomorpha
Atherurus africanus,Atherurus africanus,192881,Hystricidae,Rodentia,Dipnotetrapodomorpha
Baiomys taylori,Baiomys taylori,56219,Cricetidae,Rodentia,Dipnotetrapodomorpha
Bandicota bengalensis,Bandicota bengalensis,69079,Muridae,Rodentia,Dipnotetrapodomorpha
Bandicota indica,Bandicota indica,456472,Muridae,Rodentia,Dipnotetrapodomorpha
Bandicota savilei,Bandicota savilei,456473,Muridae,Rodentia,Dipnotetrapodomorpha
Berylmys bowersi,Berylmys bowersi,83759,Muridae,Rodentia,Dipnotetrapodomorpha
Bibimys chacoensis,Bibimys chacoensis,241101,Cricetidae,Rodentia,Dipnotetrapodomorpha
Callosciurus erythraeus,Callosciurus erythraeus,64677,Sciuridae,Rodentia,Dipnotetrapodomorpha
Callosciurus notatus,Callosciurus notatus,64678,Sciuridae,Rodentia,Dipnotetrapodomorpha
Callospermophilus lateralis,Callospermophilus lateralis,76772,Sciuridae,Rodentia,Dipnotetrapodomorpha
Calomys callidus,Calomys callidus,414451,Cricetidae,Rodentia,Dipnotetrapodomorpha
Calomys callosus,Calomys callosus,56210,Cricetidae,Rodentia,Dipnotetrapodomorpha
Calomys laucha,Calomys laucha,56211,Cricetidae,Rodentia,Dipnotetrapodomorpha
Calomys musculinus,Calomys musculinus,56212,Cricetidae,Rodentia,Dipnotetrapodomorpha
Calomys tener,Calomys tener,162310,Cricetidae,Rodentia,Dipnotetrapodomorpha
Castor canadensis,Castor canadensis,51338,Castoridae,Rodentia,Dipnotetrapodomorpha
Castor fiber,Castor fiber,10185,Castoridae,Rodentia,Dipnotetrapodomorpha
Cavia porcellus,Cavia porcellus,10141,Caviidae,Rodentia,Dipnotetrapodomorpha
Cerradomys subflavus,Cerradomys subflavus,37022,Cricetidae,Rodentia,Dipnotetrapodomorpha
Chaetodipus hispidus,Chaetodipus hispidus,38665,Heteromyidae,Rodentia,Dipnotetrapodomorpha
Chaetodipus penicillatus,Chaetodipus penicillatus,38672,Heteromyidae,Rodentia,Dipnotetrapodomorpha
Chaetodipus spinatus,Chaetodipus spinatus,145413,Heteromyidae,Rodentia,Dipnotetrapodomorpha
Chinchilla chinchilla,Chinchilla chinchilla,10152,Chinchillidae,Rodentia,Dipnotetrapodomorpha
Chinchilla lanigera,Chinchilla lanigera,34839,Chinchillidae,Rodentia,Dipnotetrapodomorpha
Chionomys nivalis,Chionomys nivalis,269649,Cricetidae,Rodentia,Dipnotetrapodomorpha
Chionomys roberti,Chionomys roberti,269650,Cricetidae,Rodentia,Dipnotetrapodomorpha
Coendou melanurus,Coendou melanurus,73858,Erethizontidae,Rodentia,Dipnotetrapodomorpha
Coendou mexicanus,Coendou mexicanus,637443,Erethizontidae,Rodentia,Dipnotetrapodomorpha
Coendou prehensilis,Coendou prehensilis,187985,Erethizontidae,Rodentia,Dipnotetrapodomorpha
Cricetomys emini,Cricetomys emini,107265,Nesomyidae,Rodentia,Dipnotetrapodomorpha
Cricetomys gambianus,Cricetomys gambianus,10085,Nesomyidae,Rodentia,Dipnotetrapodomorpha
Cricetulus barabensis,Cricetulus barabensis,329629,Cricetidae,Rodentia,Dipnotetrapodomorpha
Cricetulus migratorius,Cricetulus migratorius,10032,Cricetidae,Rodentia,Dipnotetrapodomorpha
Cricetus cricetus,Cricetus cricetus,10034,Cricetidae,Rodentia,Dipnotetrapodomorpha
Ctenodactylus gundi,Ctenodactylus gundi,10166,Ctenodactylidae,Rodentia,Dipnotetrapodomorpha
Cuniculus paca,Cuniculus paca,108852,Cuniculidae,Rodentia,Dipnotetrapodomorpha
Cynomys leucurus,Cynomys leucurus,99825,Sciuridae,Rodentia,Dipnotetrapodomorpha
Cynomys ludovicianus,Cynomys ludovicianus,45480,Sciuridae,Rodentia,Dipnotetrapodomorpha
Dasymys incomtus,Dasymys incomtus,71173,Muridae,Rodentia,Dipnotetrapodomorpha
Dasyprocta fuliginosa,Dasyprocta fuliginosa,193455,Dasyproctidae,Rodentia,Dipnotetrapodomorpha
Dasyprocta leporina,Dasyprocta leporina,42152,Dasyproctidae,Rodentia,Dipnotetrapodomorpha
Dasyprocta punctata,Dasyprocta punctata,34846,Dasyproctidae,Rodentia,Dipnotetrapodomorpha
Desmodillus auricularis,Desmodillus auricularis,298896,Muridae,Rodentia,Dipnotetrapodomorpha
Dicrostonyx groenlandicus,Dicrostonyx groenlandicus,85953,Cricetidae,Rodentia,Dipnotetrapodomorpha
Dinaromys bogdanovi,Dinaromys bogdanovi,418655,Cricetidae,Rodentia,Dipnotetrapodomorpha
Diplomys labilis,Diplomys labilis,1567522,Echimyidae,Rodentia,Dipnotetrapodomorpha
Dipodillus campestris,Dipodillus campestris,41199,Muridae,Rodentia,Dipnotetrapodomorpha
Dipodillus dasyurus,Dipodillus dasyurus,723804,Muridae,Rodentia,Dipnotetrapodomorpha
Dipodomys californicus,Dipodomys californicus,10017,Heteromyidae,Rodentia,Dipnotetrapodomorpha
Dipodomys heermanni,Dipodomys heermanni,10018,Heteromyidae,Rodentia,Dipnotetrapodomorpha
Dipodomys merriami,Dipodomys merriami,94247,Heteromyidae,Rodentia,Dipnotetrapodomorpha
Dipodomys microps,Dipodomys microps,94248,Heteromyidae,Rodentia,Dipnotetrapodomorpha
Dipodomys nitratoides,Dipodomys nitratoides,323374,Heteromyidae,Rodentia,Dipnotetrapodomorpha
Dipodomys ordii,Dipodomys ordii,10020,Heteromyidae,Rodentia,Dipnotetrapodomorpha
Dipodomys panamintinus,Dipodomys panamintinus,10019,Heteromyidae,Rodentia,Dipnotetrapodomorpha
Dolichotis patagonum,Dolichotis patagonum,29091,Caviidae,Rodentia,Dipnotetrapodomorpha
Eliomys quercinus,Eliomys quercinus,53277,Gliridae,Rodentia,Dipnotetrapodomorpha
Eliurus tanala,Eliurus tanala,107286,Nesomyidae,Rodentia,Dipnotetrapodomorpha
Eothenomys andersoni,Myodes andersoni,82466,Cricetidae,Rodentia,Dipnotetrapodomorpha
Eothenomys cachinus,Eothenomys cachinus,259049,Cricetidae,Rodentia,Dipnotetrapodomorpha
Eothenomys custos,Eothenomys custos,259050,Cricetidae,Rodentia,Dipnotetrapodomorpha
Eothenomys eleusis,Eothenomys eleusis,259053,Cricetidae,Rodentia,Dipnotetrapodomorpha
Eothenomys miletus,Eothenomys miletus,259054,Cricetidae,Rodentia,Dipnotetrapodomorpha
Eothenomys smithii,Myodes smithii,82463,Cricetidae,Rodentia,Dipnotetrapodomorpha
Euryoryzomys macconnelli,Euryoryzomys macconnelli,48006,Cricetidae,Rodentia,Dipnotetrapodomorpha
Euryzygomatomys spinosus,Euryzygomatomys spinosus,43325,Echimyidae,Rodentia,Dipnotetrapodomorpha
Funambulus pennantii,Funambulus pennantii,64681,Sciuridae,Rodentia,Dipnotetrapodomorpha
Funambulus tristriatus,Funambulus tristriatus,2505936,Sciuridae,Rodentia,Dipnotetrapodomorpha
Funisciurus anerythrus,Funisciurus anerythrus,1235483,Sciuridae,Rodentia,Dipnotetrapodomorpha
Geomys bursarius,Geomys bursarius,27682,Geomyidae,Rodentia,Dipnotetrapodomorpha
Gerbilliscus brantsii,Gerbilliscus brantsii,410299,Muridae,Rodentia,Dipnotetrapodomorpha
Gerbilliscus leucogaster,Gerbilliscus leucogaster,410302,Muridae,Rodentia,Dipnotetrapodomorpha
Gerbilliscus validus,Gerbilliscus validus,410306,Muridae,Rodentia,Dipnotetrapodomorpha
Gerbillurus paeba,Gerbillurus paeba,186476,Muridae,Rodentia,Dipnotetrapodomorpha
Gerbillus gerbillus,Gerbillus gerbillus,298880,Muridae,Rodentia,Dipnotetrapodomorpha
Gerbillus pyramidum,Gerbillus pyramidum,298882,Muridae,Rodentia,Dipnotetrapodomorpha
Glaucomys volans,Glaucomys volans,64683,Sciuridae,Rodentia,Dipnotetrapodomorpha
Glis glis,Glis glis,41261,Gliridae,Rodentia,Dipnotetrapodomorpha
Golunda ellioti,Golunda ellioti,121585,Muridae,Rodentia,Dipnotetrapodomorpha
Grammomys surdaster,Grammomys surdaster,491861,Muridae,Rodentia,Dipnotetrapodomorpha
Graomys griseoflavus,Graomys griseoflavus,118865,Cricetidae,Rodentia,Dipnotetrapodomorpha
Handleyomys alfaroi,Handleyomys alfaroi,530171,Cricetidae,Rodentia,Dipnotetrapodomorpha
Handleyomys fuscatus,Handleyomys fuscatus,218786,Cricetidae,Rodentia,Dipnotetrapodomorpha
